"The Altria Group, Inc.","USMEFTC",,,312230,,,,,,,,,,,,,,,,,,,
"American Standard","USMEFTC",,,327110,326191,332510,337110,337121,337122,337124,337125,337127,,,,,,,,,,,
"Boeing","USMEFTC",,,336411,336412,336413,336414,336415,336419,,,,,,,,,,,,,,
"Brunswick Commercial and Government Products ","USMEFTC",,,336611,336612,,,,,,,,,,,,,,,,,,
"Cargill, Inc. ","USMEFTC",,,311211,311212,311221,311224,311225,311351,311611,311612,311613,311615,311930,31194,311314,111920,111120,111140,111150,111199,325211,324191
"Caterpillar ","USMEFTC",,,333111,333120,333131,333132,333618,333611,33612,335312,,,,,,,,,,,,
"Chevron","USMEFTC",,,211111,324110,324191,324199,325110,325180,325199,211112,,,,,,,,,,,,
"Cisco Systems, Inc. ","USMEFTC",,,334210,334290,,,,,,,,,,,,,,,,,,
"Coca-Cola Company ","USMEFTC",,,312111,312112,,,,,,,,,,,,,,,,,,
"DaimlerChrysler Corporation ","USMEFTC",,,336111,336112,336310,336320,336330,336340,336350,336360,,,,,,,,,,,,
"Dow Chemical Company ","USMEFTC","HWM2",,325320,325199,,,,,,,,,,,,,,,,,,
"DynCorp","HWM2",,,,,,,,,,,,,,,,,,,,,,
"Eastman Kodak Company ","USMEFTC",,,334118,322320,32212,325992,,,,,,,,,,,,,,,,
"Eli Lilly & Company","USMEFTC",,,325411,325412,325413,325414,,,,,,,,,,,,,,,,
"ExxonMobil ","USMEFTC",,,211111,211112,324110,325110,,,,,,,,,,,,,,,,
"Fluor Corporation ","USMEFTC",,,212111,212112,212113,324110,324199,325110,325193,325193,325199,325211,,,,,,,,,,
"The GAP, Inc. ","USMEFTC",,,315110,315190,315210,315220,315240,315280,315990,,,,,,,,,,,,,
"General Dynamics ","USMEFTC",,,336411,336412,336413,332993,332992,332994,336999,336611,,,,,,,,,,,,
"General Electric ","USMEFTC",,,335210,33522,336412,336413,336415,336419,335110,33512,333611,333132,333131,335210,33461,334210,335312,333618,325520,32541,,
"General Motors ","USMEFTC",,,336111,336112,336120,336211,336310,336320,336330,336340,336350,336360,336370,336390,,,,,,,,
"Guardian Industries Corp. ","USMEFTC",,,327215,327211,327212,,,,,,,,,,,,,,,,,
"Halliburton Company ","USMEFTC",,,333132,,,,,,,,,,,,,,,,,,,
"Hewlett Packard ","USMEFTC",,,334111,334112,334118,325910,,,,,,,,,,,,,,,,
"Honeywell ","USMEFTC",,,334512,335210,334290,335312,336320,334511,334519,,,,,,,,,,,,,
"IBM Corporation ","USMEFTC",,,334111,334112,334118,333318,334413,,,,,,,,,,,,,,,
"Intel ","USMEFTC","HWM1",,334412,334413,334416,334417,334418,334419,334111,334112,334118,334210,334290,,,,,,,,,
"Johnson & Pump","USMEFTC",,,333911,333999,336310,333996,,,,,,,,,,,,,,,,
"Liz Claiborne","USMEFTC",,,325620,,,,,,,,,,,,,,,,,,,
"Lockheed Martin ","USMEFTC",,,334511,336414,336415,336419,336992,334220,334290,334511,,,,,,,,,,,,
"Marathon Oil","USMEFTC",,,211111,211112,324110,324121,324122,324191,324199,,,,,,,,,,,,,
"Merck & Co. Inc. ","USMEFTC",,,325411,325412,325413,325414,,,,,,,,,,,,,,,,
"Motorola","USMEFTC",,,334210,334290,,,,,,,,,,,,,,,,,,
"Nortel","USMEFTC",,,334210,334220,334417,,,,,,,,,,,,,,,,,
"Occidental Petroleum Corportation ","USMEFTC","USBBC","USOBC",211111,211112,324110,325211,325180,325199,325110,,,,,,,,,,,,,
"PepsiCo Incorporated ","USMEFTC",,,312111,312112,311919,311230,311411,,,,,,,,,,,,,,,
"Philip Morris International","USBBC",,,312230,111910,115114,,,,,,,,,,,,,,,,,
"Procter & Gamble ","USMEFTC",,,325620,325611,322291,325411,325412,325413,325414,,,,,,,,,,,,,
"Qualcomm, Inc. ","USMEFTC",,,334210,334220,334290,334413,334418,334419,,,,,,,,,,,,,,
"Raytheon ","USMEFTC","USOBC",,334511,336414,336415,336419,,,,,,,,,,,,,,,,
"Rolls-Royce North America","USMEFTC",,,336412,333618,333611,334413,,,,,,,,,,,,,,,,
"Starbucks Coffee","USMEFTC",,,311920,335210,326199,327110,,,,,,,,,,,,,,,,
"TECORE Wireless Systems ","USMEFTC",,,334210,334220,,,,,,,,,,,,,,,,,,
"United Technologies Corporation ","USMEFTC",,,333921,333922,333413,333414,333415,,,,,,,,,,,,,,,
"Yasmine Enterprises","HWM1",,,332431,,,,,,,,,,,,,,,,,,,
